iso_code,location,year,total_cv_cases,total_cv_death,vax_per_100,fulvax_per_100,string_idx,population,population_density,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,gdp_per_capita
AFG,Afghanistan,2022,23391,352,13.99,12.36,16.580736196319,39835428,54.422,2.581,597.029,9.59,1803.987
AZE,Azerbaijan,2022,175306,1341,52.35,47.46,67.1389677419355,10223344,119.309,6.018,559.812,7.11,15847.419
BHR,Bahrain,2022,320504,96,70.8,69.91,32.6434394904459,1748295,1935.907,2.372,151.689,16.52,43290.705
BGD,Bangladesh,2022,369265,1054,77.7,71.31,43.3638255033557,166303494,1265.036,5.098,298.003,8.38,3523.984
BTN,Bhutan,2022,56984,18,88.85,86.24,52.8237888198758,779900,21.188,4.885,217.066,9.75,8708.597
BRN,Brunei,2022,140982,127,100.63,96.66,54.4492617449664,441532,81.347,4.591,201.285,12.79,71809.251
KHM,Cambodia,2022,15752,43,88.83,84.63,28.0757419354839,16946446,90.672,4.412,270.892,4,3645.07
CHN,China,2022,771714,590,89.38,87.05,73.0621818181818,1444216102,147.674,10.641,261.899,9.74,15308.712
GEO,Georgia,2022,721115,2933,40.93,31.89,34.0464189189189,3979773,65.032,14.864,496.218,7.11,9745.079
IND,India,2022,8373810,42962,72.81,64.95,56.9272077922078,1393409033,450.419,5.989,282.28,10.39,6426.674
IDN,Indonesia,2022,1803740,12587,72.73,60.88,60.8083870967742,276361788,145.725,5.319,342.864,6.32,11188.744
IRN,Iran,2022,1037684,9683,75.91,68.05,63.2374074074074,85028760,49.831,5.44,270.308,9.59,19082.62
IRQ,Iraq,2022,237775,1061,26.17,18.37,48.6263473053892,41179351,88.125,3.186,218.612,8.83,15663.986
ISR,Israel,2022,2831132,2652,72.23,66.12,30.1221472392638,9291000,402.606,11.733,93.32,6.74,33132.32
JPN,Japan,2022,7391225,12628,82.26,81.12,46.0803658536585,126050796,347.778,27.049,79.37,5.72,39002.223
JOR,Jordan,2022,632102,1358,46.74,44.09,25.3124539877301,10269022,109.285,3.81,208.257,11.75,8337.49
KAZ,Kazakhstan,2022,322149,806,50.11,48.95,44.8073913043478,18994958,6.681,6.991,466.792,7.11,24055.588
KWT,Kuwait,2022,220376,87,79.24,76.62,31.8235897435897,4328553,232.128,2.345,132.235,15.84,65530.537
KGZ,Kyrgyzstan,2022,16230,187,23.66,19.85,40.4389570552147,6628347,32.333,4.489,436.362,7.11,3393.474
LAO,Laos,2022,97427,377,78.84,68.8,70.3940251572327,7379358,29.715,4.029,368.111,4,6397.36
LBN,Lebanon,2022,370531,1296,39.8,35.01,39.0377976190476,6769151,594.561,8.514,266.591,12.71,13367.565
MYS,Malaysia,2022,1774568,4200,85.48,82.99,55.2590476190476,32776195,96.254,6.293,260.942,16.74,26808.164
MNG,Mongolia,2022,232736,119,68.27,65.35,11.6575316455696,3329282,1.98,4.031,460.043,4.82,11840.846
MMR,Myanmar,2022,82460,160,60.22,49.31,68.4658641975309,54806014,81.721,5.732,202.104,4.61,5591.597
NPL,Nepal,2022,150358,356,76.09,67.76,49.9371779141104,29674920,204.43,5.809,260.797,7.26,2442.804
OMN,Oman,2022,83926,511,62.53,58.17,52.4106134969325,5223376,14.98,2.355,266.342,12.61,37960.709
PAK,Pakistan,2022,234747,1440,60.45,55.34,61.4915540540541,225199929,255.573,4.495,423.031,8.35,5034.708
PSE,Palestine,2022,188352,741,38.42,33.91,17.4227108433735,5222756,778.202,3.043,265.91,10.59,4449.898
PHL,Philippines,2022,843721,8897,67.5,63.26,55.1654716981132,111046910,351.873,4.803,370.437,7.07,7599.188
QAT,Qatar,2022,122564,60,90.07,90.07,52.6583439490446,2930524,227.322,1.307,176.69,16.52,116935.6
SAU,Saudi Arabia,2022,225801,306,75.53,70.9,70.9157668711656,35340680,15.322,3.295,259.538,17.72,49045.411
SGP,Singapore,2022,1084272,573,92.02,91.56,51.3583832335329,5453600,7915.731,12.922,92.243,10.99,85535.383
KOR,South Korea,2022,17634345,18767,87.83,86.97,35.1703680981595,51305184,527.967,13.914,85.998,6.8,35938.374
LKA,Sri Lanka,2022,76049,1501,79.42,67.56,40.414012345679,21497306,341.955,10.069,197.093,10.68,11669.077
TJK,Tajikistan,2022,293,0,53.23,51.05,16.3670886075949,9749625,64.281,3.466,427.698,7.11,2896.913
THA,Thailand,2022,2269486,8747,80.97,75.4,44.1792073170732,69950844,135.132,11.373,109.861,7.04,16277.671
TLS,Timor,2022,3105,11,61.22,51.69,31.5333128834356,1343875,87.176,3.556,335.346,6.86,6570.102
TUR,Turkey,2022,5532941,16361,68.03,62.42,32.9564864864865,85042736,104.914,8.153,171.285,12.13,25129.341
ARE,United Arab Emirates,2022,158805,140,98.99,97.11,42.8546625766871,9991083,112.442,1.144,317.84,17.26,67293.483
UZB,Uzbekistan,2022,40407,152,57.49,45.14,39.0891666666667,33935765,76.134,4.469,724.417,7.57,6253.104
VNM,Vietnam,2022,8974067,10252,87.01,81.19,52.2013333333333,98168829,308.127,7.15,245.465,6,6171.884
YEM,Yemen,2022,1693,165,2.27,1.45,28.6405590062112,30490639,53.508,2.922,495.003,5.35,1479.147
